자치구,인구밀도
동대문구,25315
양천구,25236
동작구,23826
중랑구,20948
구로구,20656
광진구,20582
송파구,19483
강동구,18841
금천구,18517
서대문구,18190
성북구,17828
성동구,16930
관악구,16838
영등포구,16203
은평구,15849
마포구,15727
도봉구,14987
노원구,14191
강남구,13932
강서구,13723
중구,13232
강북구,12414
용산구,10386
서초구,8774
종로구,6292
