자치구,인구밀도
서초구,9612.95
서초구,7217.08
서초구,23907.14
서초구,7410.24
서초구,2871.5
서초구,1376.58
강남구,8400
강남구,14017.74
강남구,17664
강남구,14159.18
강남구,6566.49
강남구,25050
강남구,30184.81
강남구,26700
강남구,15130.21
강남구,32407.83
강남구,20856.86
강남구,32201.96
강남구,5450.39
강남구,15865.1
강남구,8920.54
강남구,16290.22
강남구,10071.33
강남구,6821.07
강남구,10237.94
강남구,10939.48
강남구,18549
강남구,11566.53
송파구,16766.23
송파구,15362.26
송파구,24029.41
송파구,44801.89
송파구,32100
송파구,20393.26
송파구,30920
송파구,32942.5
송파구,5616.4
송파구,23052.73
송파구,30389.87
송파구,35749.06
송파구,33265.26
송파구,31486.32
송파구,22905.31
송파구,20538.06
송파구,32989.58
송파구,35564.29
송파구,13109.55
송파구,30168.09
송파구,13604.49
송파구,5990.32
송파구,15711.67
송파구,15998.17
송파구,22914.77
송파구,21242.34
송파구,17495.29
강동구,42034.43
강동구,17862.89
강동구,15840.4
강동구,9105.6
강동구,12770.34
강동구,6964.54
강동구,37563.38
강동구,33770.89
강동구,34310.34
강동구,35116.42
강동구,32494.37
강동구,79.35
강동구,15562.18
강동구,33599.02
강동구,21544.59
강동구,28182.61
강동구,14626.99
강동구,21526.37
강동구,10947.71
